idx,milhar,dezena,grupo,animal,hora,local,tipo
264,2050,50,13,Galo,13:00,,Vespertino
265,4023,23,6,Cabra,13:00,,Vespertino
266,1431,31,8,Camelo,13:00,,Vespertino
267,1411,11,3,Burro,13:00,,Vespertino
268,9622,22,6,Cabra,13:00,,Vespertino
269,3487,87,22,Tigre,13:00,,Vespertino
270,7238,38,10,Coelho,13:00,,Vespertino
271,0580,80,20,Peru,13:00,,Vespertino
272,1937,37,10,Coelho,13:00,,Vespertino
273,4642,42,11,Cavalo,13:00,,Vespertino
274,1283,83,21,Touro,11:00,,Diurno
275,1278,78,20,Peru,11:00,,Diurno
276,1478,78,20,Peru,11:00,,Diurno
277,4240,40,10,Coelho,11:00,,Diurno
278,1371,71,18,Porco,11:00,,Diurno
279,6375,75,19,Pavão,11:00,,Diurno
280,6496,96,24,Veado,11:00,,Diurno
281,5616,16,4,Borboleta,11:00,,Diurno
282,4166,66,17,Macaco,11:00,,Diurno
283,2334,34,9,Cobra,09:00,,Diurno
284,4779,79,20,Peru,09:00,,Diurno
285,0156,56,14,Gato,09:00,,Diurno
286,5533,33,9,Cobra,09:00,,Diurno
287,8399,99,25,Vaca,13:00,PE,Vespertino
288,8185,85,22,Tigre,13:00,PE,Vespertino
289,9507,7,2,Águia,13:00,PE,Vespertino
290,3363,63,16,Leão,13:00,PE,Vespertino
291,3609,9,3,Burro,13:00,PE,Vespertino
292,8893,93,24,Veado,13:00,PE,Vespertino
293,3153,53,14,Gato,13:00,PE,Vespertino
294,9806,6,2,Águia,13:00,PE,Vespertino
295,9573,73,19,Pavão,13:00,PE,Vespertino
296,4488,88,22,Tigre,13:00,PE,Vespertino
297,8260,60,15,Jacaré,13:00,PE,Vespertino
298,4789,89,23,Urso,13:00,PE,Vespertino
299,0540,40,10,Coelho,13:00,PE,Vespertino
300,6720,20,5,Cachorro,13:00,PE,Vespertino
301,8894,94,24,Veado,13:00,PE,Vespertino
302,8406,6,2,Águia,13:00,PE,Vespertino
303,2757,57,15,Jacaré,13:00,PE,Vespertino
304,6842,42,11,Cavalo,13:00,PE,Vespertino
305,0900,0,25,Vaca,13:00,PE,Vespertino
306,8108,8,2,Águia,13:00,PE,Vespertino
307,8069,69,18,Porco,13:00,PE,Vespertino
308,7221,21,6,Cabra,13:00,PE,Vespertino
309,8131,31,8,Camelo,13:00,PE,Vespertino
310,0035,35,9,Cobra,13:00,PE,Vespertino
311,7421,21,6,Cabra,13:00,PE,Vespertino
312,8780,80,20,Peru,13:00,PE,Vespertino
313,0210,10,3,Burro,13:00,PE,Vespertino
314,6233,33,9,Cobra,13:00,PE,Vespertino
315,9115,15,4,Borboleta,13:00,PE,Vespertino
316,5215,15,4,Borboleta,13:00,PE,Vespertino
